Product Name,Category,Sell Price,Condition,Language,Add Qty,Finish,ASIN,TCG Player Name, TCG Player ID
"Kasmina, Enigma Sage - Borderless",Strixhaven: School of Mages,1.91,Near Mint,English,1,Normal,B09GTTH1H1,"Kasmina, Enigma Sage (Borderless)",235127
Mascot Exhibition - Extended Art,Strixhaven: School of Mages,0.77,Near Mint,English,1,Normal,B09GTVXNVB,Mascot Exhibition (Extended Art),235915
Plumb the Forbidden,Strixhaven: School of Mages,2.85,Near Mint,English,1,Normal,B09GTM7BGW,Plumb the Forbidden,236007
Nazgul Battle-Mace - Borderless,Commander: The Lord of the Rings: Tales of Middle-earth,4.1,Near Mint,English,1,Normal,,Nazgul Battle-Mace (Borderless),517259
Olorin's Searing Light - Borderless,Commander: The Lord of the Rings: Tales of Middle-earth,0.98,Near Mint,English,1,Normal,,Olorin's Searing Light (Borderless),517247
Chaotic Goo,Tempest,2.02,Near Mint,English,1,Normal,B0062DYRQC,Chaotic Goo,5483
Counterspell,Tempest,2.23,Near Mint,English,1,Normal,B002MBQK1I,Counterspell,5503
Arcanis the Omnipotent,Tenth Edition,0.85,Near Mint,English,1,Normal,B0062DZEL4,Arcanis the Omnipotent,15039
Gixian Puppeteer,The Brothers' War,0.81,Near Mint,English,1,Normal,,Gixian Puppeteer,452361
Mishra's Foundry,The Brothers' War,0.8,Near Mint,English,3,Normal,,Mishra's Foundry,448406
One with the Multiverse,The Brothers' War,5.05,Near Mint,English,1,Normal,,One with the Multiverse,452269
Painful Quandary,The Brothers' War,1.13,Near Mint,English,1,Normal,,Painful Quandary,451984
Siege Veteran - Extended Art,The Brothers' War,0.5,Near Mint,English,1,Normal,,Siege Veteran (Extended Art),452398
Surge Engine,The Brothers' War,1.18,Near Mint,English,3,Normal,,Surge Engine,448404
Teething Wurmlet,The Brothers' War,0.55,Near Mint,English,2,Normal,,Teething Wurmlet,452832
"Jhoira, Weatherlight Captain",Commander: The Brothers' War,1.71,Near Mint,English,1,Normal,,"Jhoira, Weatherlight Captain (Retro Frame)",452194
